id,city,statecode
1,Des Moines,IA
2,Fayetteville,AR
3,Madison,WI
4,Huntsville,AL
5,Denver,CO
6,Colorado Springs,CO
7,Austin,TX
8,Grand Rapids,MI
9,Charlotte,NC
10,Nashville,TN
