date,city,statecode,unemployment,housing
2003-01-01,Albuquerque,NM,5.2,148049
2003-02-01,Albuquerque,NM,5.2,148287
2003-03-01,Albuquerque,NM,5.3,148583
2003-04-01,Albuquerque,NM,5.3,148776
2003-05-01,Albuquerque,NM,5.4,149028
2003-06-01,Albuquerque,NM,5.4,149382
2003-07-01,Albuquerque,NM,5.5,149781
2003-08-01,Albuquerque,NM,5.5,150115
2003-09-01,Albuquerque,NM,5.5,150350
2003-10-01,Albuquerque,NM,5.5,150774
2003-11-01,Albuquerque,NM,5.5,151472
2003-12-01,Albuquerque,NM,5.4,152483
2004-01-01,Albuquerque,NM,5.4,153324
2004-02-01,Albuquerque,NM,5.3,154211
2004-03-01,Albuquerque,NM,5.2,154769
2004-04-01,Albuquerque,NM,5.2,155385
2004-05-01,Albuquerque,NM,5.1,155990
2004-06-01,Albuquerque,NM,5.0,156766
2004-07-01,Albuquerque,NM,5.0,157478
2004-08-01,Albuquerque,NM,5.0,158063
2004-09-01,Albuquerque,NM,5.0,158394
2004-10-01,Albuquerque,NM,5.0,158859
2004-11-01,Albuquerque,NM,5.1,159298
2004-12-01,Albuquerque,NM,5.1,159826
2005-01-01,Albuquerque,NM,5.1,160510
2005-02-01,Albuquerque,NM,5.1,161210
2005-03-01,Albuquerque,NM,5.1,162259
2005-04-01,Albuquerque,NM,5.0,163011
2005-05-01,Albuquerque,NM,5.0,163880
2005-06-01,Albuquerque,NM,4.9,164711
2005-07-01,Albuquerque,NM,4.8,166128
2005-08-01,Albuquerque,NM,4.7,167845
2005-09-01,Albuquerque,NM,4.7,170095
2005-10-01,Albuquerque,NM,4.6,172216
2005-11-01,Albuquerque,NM,4.4,174424
2005-12-01,Albuquerque,NM,4.3,176758
2006-01-01,Albuquerque,NM,4.1,179058
2006-02-01,Albuquerque,NM,4.0,181338
2006-03-01,Albuquerque,NM,3.9,183526
2006-04-01,Albuquerque,NM,3.9,186240
2006-05-01,Albuquerque,NM,4.0,189022
2006-06-01,Albuquerque,NM,4.0,191540
2006-07-01,Albuquerque,NM,4.0,193564
2006-08-01,Albuquerque,NM,4.0,195616
2006-09-01,Albuquerque,NM,4.0,197851
2006-10-01,Albuquerque,NM,3.9,200103
2006-11-01,Albuquerque,NM,3.9,201969
2006-12-01,Albuquerque,NM,3.8,203145
2007-01-01,Albuquerque,NM,3.7,204187
2007-02-01,Albuquerque,NM,3.7,205227
2007-03-01,Albuquerque,NM,3.7,206181
2007-04-01,Albuquerque,NM,3.6,207379
2007-05-01,Albuquerque,NM,3.6,208312
2007-06-01,Albuquerque,NM,3.6,209955
2007-07-01,Albuquerque,NM,3.6,211107
2007-08-01,Albuquerque,NM,3.7,212031
2007-09-01,Albuquerque,NM,3.7,211848
2007-10-01,Albuquerque,NM,3.8,211550
2007-11-01,Albuquerque,NM,3.8,211362
2007-12-01,Albuquerque,NM,3.9,211402
2008-01-01,Albuquerque,NM,3.9,211137
2008-02-01,Albuquerque,NM,4.0,210548
2008-03-01,Albuquerque,NM,4.0,209819
2008-04-01,Albuquerque,NM,4.1,208561
2008-05-01,Albuquerque,NM,4.1,207239
2008-06-01,Albuquerque,NM,4.3,205472
2008-07-01,Albuquerque,NM,4.4,204082
2008-08-01,Albuquerque,NM,4.6,202534
2008-09-01,Albuquerque,NM,4.8,201476
2008-10-01,Albuquerque,NM,5.1,199957
2008-11-01,Albuquerque,NM,5.6,198390
2008-12-01,Albuquerque,NM,6.1,196753
2009-01-01,Albuquerque,NM,6.6,195444
2009-02-01,Albuquerque,NM,7.1,194485
2009-03-01,Albuquerque,NM,7.5,193279
2009-04-01,Albuquerque,NM,7.9,192579
2009-05-01,Albuquerque,NM,8.0,191859
2009-06-01,Albuquerque,NM,8.1,191267
2009-07-01,Albuquerque,NM,8.1,190340
2009-08-01,Albuquerque,NM,8.0,189626
2009-09-01,Albuquerque,NM,8.0,189070
2009-10-01,Albuquerque,NM,7.9,189409
2009-11-01,Albuquerque,NM,7.9,189616
2009-12-01,Albuquerque,NM,8.0,189836
2010-01-01,Albuquerque,NM,7.7,189557
2010-02-01,Albuquerque,NM,7.8,189099
2010-03-01,Albuquerque,NM,8.0,188995
2010-04-01,Albuquerque,NM,8.1,188374
2010-05-01,Albuquerque,NM,8.2,187779
2010-06-01,Albuquerque,NM,8.2,186795
2010-07-01,Albuquerque,NM,8.2,186004
2010-08-01,Albuquerque,NM,8.2,185316
2010-09-01,Albuquerque,NM,8.1,184155
2010-10-01,Albuquerque,NM,8.0,182337
2010-11-01,Albuquerque,NM,7.9,180543
2010-12-01,Albuquerque,NM,7.7,179151
2011-01-01,Albuquerque,NM,7.6,178323
2011-02-01,Albuquerque,NM,7.5,177552
2011-03-01,Albuquerque,NM,7.4,176535
2011-04-01,Albuquerque,NM,7.3,175220
2011-05-01,Albuquerque,NM,7.3,174080
2011-06-01,Albuquerque,NM,7.4,173328
2011-07-01,Albuquerque,NM,7.5,172901
2011-08-01,Albuquerque,NM,7.6,171740
2011-09-01,Albuquerque,NM,7.6,170945
2011-10-01,Albuquerque,NM,7.7,170558
2011-11-01,Albuquerque,NM,7.7,170452
2011-12-01,Albuquerque,NM,7.6,170084
2012-01-01,Albuquerque,NM,7.5,169534
2012-02-01,Albuquerque,NM,7.4,169104
2012-03-01,Albuquerque,NM,7.3,168868
2012-04-01,Albuquerque,NM,7.2,169105
2012-05-01,Albuquerque,NM,7.1,169307
2012-06-01,Albuquerque,NM,7.1,169262
2012-07-01,Albuquerque,NM,7.0,169115
2012-08-01,Albuquerque,NM,7.0,169599
2012-09-01,Albuquerque,NM,7.0,170484
2012-10-01,Albuquerque,NM,7.0,170739
2012-11-01,Albuquerque,NM,7.0,170964
2012-12-01,Albuquerque,NM,7.0,170689
2013-01-01,Albuquerque,NM,6.9,170708
2013-02-01,Albuquerque,NM,6.9,170828
2013-03-01,Albuquerque,NM,6.8,171457
2013-04-01,Albuquerque,NM,6.8,172335
2013-05-01,Albuquerque,NM,6.7,173138
2013-06-01,Albuquerque,NM,6.7,174071
2013-07-01,Albuquerque,NM,6.8,174761
2013-08-01,Albuquerque,NM,6.8,175604
2013-09-01,Albuquerque,NM,6.8,175715
2013-10-01,Albuquerque,NM,6.8,176525
2013-11-01,Albuquerque,NM,6.8,176834
2013-12-01,Albuquerque,NM,6.8,178024
2014-01-01,Albuquerque,NM,6.7,178951
2014-02-01,Albuquerque,NM,6.7,179581
2014-03-01,Albuquerque,NM,6.7,179556
2014-04-01,Albuquerque,NM,6.7,179046
2014-05-01,Albuquerque,NM,6.6,178760
2014-06-01,Albuquerque,NM,6.6,178369
2014-07-01,Albuquerque,NM,6.5,178040
2014-08-01,Albuquerque,NM,6.5,177571
2014-09-01,Albuquerque,NM,6.4,177558
2014-10-01,Albuquerque,NM,6.3,177684
2014-11-01,Albuquerque,NM,6.2,178628
2014-12-01,Albuquerque,NM,6.2,178980
2015-01-01,Albuquerque,NM,6.2,179107
2015-02-01,Albuquerque,NM,6.2,178800
2015-03-01,Albuquerque,NM,6.2,178540
2015-04-01,Albuquerque,NM,6.2,178559
2015-05-01,Albuquerque,NM,6.2,178679
2015-06-01,Albuquerque,NM,6.1,179239
2015-07-01,Albuquerque,NM,6.1,180117
2015-08-01,Albuquerque,NM,6.1,181068
2015-09-01,Albuquerque,NM,6.0,181678
2015-10-01,Albuquerque,NM,6.0,181421
2015-11-01,Albuquerque,NM,6.0,180429
2015-12-01,Albuquerque,NM,6.0,179959
2016-01-01,Albuquerque,NM,6.0,180313
2016-02-01,Albuquerque,NM,6.0,181488
2016-03-01,Albuquerque,NM,6.0,182953
2016-04-01,Albuquerque,NM,6.0,183936
2016-05-01,Albuquerque,NM,6.0,184584
2016-06-01,Albuquerque,NM,6.1,184764
2016-07-01,Albuquerque,NM,6.1,184863
2016-08-01,Albuquerque,NM,6.1,184564
2016-09-01,Albuquerque,NM,6.1,184519
2016-10-01,Albuquerque,NM,6.0,185328
2016-11-01,Albuquerque,NM,6.0,186721
2016-12-01,Albuquerque,NM,5.9,188001
2017-01-01,Albuquerque,NM,5.8,188369
2017-02-01,Albuquerque,NM,5.8,188534
2017-03-01,Albuquerque,NM,5.7,188152
2017-04-01,Albuquerque,NM,5.6,188436
2017-05-01,Albuquerque,NM,5.5,188722
2017-06-01,Albuquerque,NM,5.5,189502
2017-07-01,Albuquerque,NM,5.4,190412
2017-08-01,Albuquerque,NM,5.3,191548
2017-09-01,Albuquerque,NM,5.3,192530
2017-10-01,Albuquerque,NM,5.2,192650
2017-11-01,Albuquerque,NM,5.1,192756
2017-12-01,Albuquerque,NM,5.0,192433
2018-01-01,Albuquerque,NM,4.9,192621
2018-02-01,Albuquerque,NM,4.8,192929
2018-03-01,Albuquerque,NM,4.7,194060
2018-04-01,Albuquerque,NM,4.6,195004
2018-05-01,Albuquerque,NM,4.6,196017
2018-06-01,Albuquerque,NM,4.5,196405
2018-07-01,Albuquerque,NM,4.6,196149
2018-08-01,Albuquerque,NM,4.6,196138
2018-09-01,Albuquerque,NM,4.7,196304
2018-10-01,Albuquerque,NM,4.7,197799
2018-11-01,Albuquerque,NM,4.7,198791
2018-12-01,Albuquerque,NM,4.7,200081
2019-01-01,Albuquerque,NM,4.8,201145
2019-02-01,Albuquerque,NM,4.8,202076
2019-03-01,Albuquerque,NM,4.8,202851
2019-04-01,Albuquerque,NM,4.7,203417
2019-05-01,Albuquerque,NM,4.7,204125
2019-06-01,Albuquerque,NM,4.7,205214
2019-07-01,Albuquerque,NM,4.7,206816
2019-08-01,Albuquerque,NM,4.7,208254
2019-09-01,Albuquerque,NM,4.6,209654
2019-10-01,Albuquerque,NM,4.5,210339
2019-11-01,Albuquerque,NM,4.5,211398
2019-12-01,Albuquerque,NM,4.5,212521
2020-01-01,Albuquerque,NM,4.5,213824
2003-01-01,Anchorage,AK,6.6,212605
2003-02-01,Anchorage,AK,6.7,213269
2003-03-01,Anchorage,AK,6.8,213944
2003-04-01,Anchorage,AK,6.8,214314
2003-05-01,Anchorage,AK,6.8,215416
2003-06-01,Anchorage,AK,6.9,217063
2003-07-01,Anchorage,AK,6.9,219564
2003-08-01,Anchorage,AK,6.9,220939
2003-09-01,Anchorage,AK,6.8,222217
2003-10-01,Anchorage,AK,6.8,223098
2003-11-01,Anchorage,AK,6.7,224395
2003-12-01,Anchorage,AK,6.7,225544
2004-01-01,Anchorage,AK,6.6,225657
2004-02-01,Anchorage,AK,6.6,227034
2004-03-01,Anchorage,AK,6.5,228064
2004-04-01,Anchorage,AK,6.5,230121
2004-05-01,Anchorage,AK,6.4,230889
2004-06-01,Anchorage,AK,6.4,232035
2004-07-01,Anchorage,AK,6.4,232750
2004-08-01,Anchorage,AK,6.3,234612
2004-09-01,Anchorage,AK,6.3,237164
2004-10-01,Anchorage,AK,6.3,239771
2004-11-01,Anchorage,AK,6.2,241920
2004-12-01,Anchorage,AK,6.1,243639
2005-01-01,Anchorage,AK,6.1,245959
2005-02-01,Anchorage,AK,6.0,247943
2005-03-01,Anchorage,AK,5.9,250014
2005-04-01,Anchorage,AK,5.9,251541
2005-05-01,Anchorage,AK,5.8,253728
2005-06-01,Anchorage,AK,5.8,255314
2005-07-01,Anchorage,AK,5.8,257214
2005-08-01,Anchorage,AK,5.9,258865
2005-09-01,Anchorage,AK,5.9,260426
2005-10-01,Anchorage,AK,5.9,262239
2005-11-01,Anchorage,AK,6.0,264266
2005-12-01,Anchorage,AK,6.0,266578
2006-01-01,Anchorage,AK,6.0,268830
2006-02-01,Anchorage,AK,6.0,270177
2006-03-01,Anchorage,AK,5.9,271470
2006-04-01,Anchorage,AK,5.8,272620
2006-05-01,Anchorage,AK,5.8,274343
2006-06-01,Anchorage,AK,5.7,276520
2006-07-01,Anchorage,AK,5.7,278433
2006-08-01,Anchorage,AK,5.7,280470
2006-09-01,Anchorage,AK,5.7,282128
2006-10-01,Anchorage,AK,5.6,283553
2006-11-01,Anchorage,AK,5.6,284700
2006-12-01,Anchorage,AK,5.6,285880
2007-01-01,Anchorage,AK,5.5,287025
2007-02-01,Anchorage,AK,5.5,288394
2007-03-01,Anchorage,AK,5.5,289219
2007-04-01,Anchorage,AK,5.5,290373
2007-05-01,Anchorage,AK,5.5,291300
2007-06-01,Anchorage,AK,5.5,292170
2007-07-01,Anchorage,AK,5.5,293027
2007-08-01,Anchorage,AK,5.5,293663
2007-09-01,Anchorage,AK,5.6,294541
2007-10-01,Anchorage,AK,5.6,295338
2007-11-01,Anchorage,AK,5.6,295922
2007-12-01,Anchorage,AK,5.7,296683
2008-01-01,Anchorage,AK,5.7,297363
2008-02-01,Anchorage,AK,5.7,297430
2008-03-01,Anchorage,AK,5.8,297893
2008-04-01,Anchorage,AK,5.8,297884
2008-05-01,Anchorage,AK,5.9,298491
2008-06-01,Anchorage,AK,5.9,298499
2008-07-01,Anchorage,AK,5.9,298662
2008-08-01,Anchorage,AK,6.0,298722
2008-09-01,Anchorage,AK,6.0,298495
2008-10-01,Anchorage,AK,6.0,298558
2008-11-01,Anchorage,AK,6.1,298518
2008-12-01,Anchorage,AK,6.2,297909
2009-01-01,Anchorage,AK,6.3,297041
2009-02-01,Anchorage,AK,6.5,297849
2009-03-01,Anchorage,AK,6.7,298999
2009-04-01,Anchorage,AK,6.8,300021
2009-05-01,Anchorage,AK,7.0,299259
2009-06-01,Anchorage,AK,7.2,298864
2009-07-01,Anchorage,AK,7.3,298066
2009-08-01,Anchorage,AK,7.4,297288
2009-09-01,Anchorage,AK,7.4,296636
2009-10-01,Anchorage,AK,7.4,295996
2009-11-01,Anchorage,AK,7.4,296265
2009-12-01,Anchorage,AK,7.3,296724
2010-01-01,Anchorage,AK,7.3,297783
2010-02-01,Anchorage,AK,7.3,297528
2010-03-01,Anchorage,AK,7.3,297413
2010-04-01,Anchorage,AK,7.3,297551
2010-05-01,Anchorage,AK,7.2,298308
2010-06-01,Anchorage,AK,7.2,298350
2010-07-01,Anchorage,AK,7.1,298486
2010-08-01,Anchorage,AK,7.1,298908
2010-09-01,Anchorage,AK,7.1,299327
2010-10-01,Anchorage,AK,7.1,299257
2010-11-01,Anchorage,AK,7.1,298405
2010-12-01,Anchorage,AK,7.0,297961
2011-01-01,Anchorage,AK,6.9,296857
2011-02-01,Anchorage,AK,6.9,295943
2011-03-01,Anchorage,AK,6.8,294010
2011-04-01,Anchorage,AK,6.7,292289
2011-05-01,Anchorage,AK,6.7,291182
2011-06-01,Anchorage,AK,6.6,291427
2011-07-01,Anchorage,AK,6.6,291935
2011-08-01,Anchorage,AK,6.6,292337
2011-09-01,Anchorage,AK,6.5,292375
2011-10-01,Anchorage,AK,6.5,292792
2011-11-01,Anchorage,AK,6.5,293215
2011-12-01,Anchorage,AK,6.4,294013
2012-01-01,Anchorage,AK,6.3,295097
2012-02-01,Anchorage,AK,6.3,296088
2012-03-01,Anchorage,AK,6.2,297525
2012-04-01,Anchorage,AK,6.2,299089
2012-05-01,Anchorage,AK,6.2,300720
2012-06-01,Anchorage,AK,6.1,300713
2012-07-01,Anchorage,AK,6.0,300474
2012-08-01,Anchorage,AK,6.0,299984
2012-09-01,Anchorage,AK,5.9,300753
2012-10-01,Anchorage,AK,5.9,301589
2012-11-01,Anchorage,AK,5.9,302512
2012-12-01,Anchorage,AK,5.9,302052
2013-01-01,Anchorage,AK,5.9,302237
2013-02-01,Anchorage,AK,5.9,303047
2013-03-01,Anchorage,AK,5.9,304615
2013-04-01,Anchorage,AK,5.9,305352
2013-05-01,Anchorage,AK,5.9,306120
2013-06-01,Anchorage,AK,5.9,308384
2013-07-01,Anchorage,AK,5.9,310475
2013-08-01,Anchorage,AK,5.9,312207
2013-09-01,Anchorage,AK,5.9,312549
2013-10-01,Anchorage,AK,5.9,312820
2013-11-01,Anchorage,AK,5.9,313545
2013-12-01,Anchorage,AK,5.9,314818
2014-01-01,Anchorage,AK,5.9,315509
2014-02-01,Anchorage,AK,5.9,316463
2014-03-01,Anchorage,AK,5.9,317135
2014-04-01,Anchorage,AK,5.9,317861
2014-05-01,Anchorage,AK,5.9,317257
2014-06-01,Anchorage,AK,5.9,316107
2014-07-01,Anchorage,AK,5.9,316082
2014-08-01,Anchorage,AK,5.9,317436
2014-09-01,Anchorage,AK,5.8,319138
2014-10-01,Anchorage,AK,5.7,320765
2014-11-01,Anchorage,AK,5.6,321205
2014-12-01,Anchorage,AK,5.6,322055
2015-01-01,Anchorage,AK,5.6,322425
2015-02-01,Anchorage,AK,5.6,322017
2015-03-01,Anchorage,AK,5.6,321648
2015-04-01,Anchorage,AK,5.6,322647
2015-05-01,Anchorage,AK,5.6,325317
2015-06-01,Anchorage,AK,5.6,327657
2015-07-01,Anchorage,AK,5.6,328658
2015-08-01,Anchorage,AK,5.6,328513
2015-09-01,Anchorage,AK,5.7,328008
2015-10-01,Anchorage,AK,5.7,327313
2015-11-01,Anchorage,AK,5.8,327791
2015-12-01,Anchorage,AK,5.9,328702
2016-01-01,Anchorage,AK,5.9,330460
2016-02-01,Anchorage,AK,6.0,332291
2016-03-01,Anchorage,AK,6.0,333276
2016-04-01,Anchorage,AK,6.0,332675
2016-05-01,Anchorage,AK,6.1,330896
2016-06-01,Anchorage,AK,6.1,329230
2016-07-01,Anchorage,AK,6.2,328056
2016-08-01,Anchorage,AK,6.2,327018
2016-09-01,Anchorage,AK,6.3,326735
2016-10-01,Anchorage,AK,6.3,326923
2016-11-01,Anchorage,AK,6.4,327225
2016-12-01,Anchorage,AK,6.4,326755
2017-01-01,Anchorage,AK,6.4,326021
2017-02-01,Anchorage,AK,6.4,324395
2017-03-01,Anchorage,AK,6.4,323335
2017-04-01,Anchorage,AK,6.4,322330
2017-05-01,Anchorage,AK,6.4,322738
2017-06-01,Anchorage,AK,6.4,323452
2017-07-01,Anchorage,AK,6.4,324263
2017-08-01,Anchorage,AK,6.4,325261
2017-09-01,Anchorage,AK,6.4,326213
2017-10-01,Anchorage,AK,6.4,327273
2017-11-01,Anchorage,AK,6.4,327463
2017-12-01,Anchorage,AK,6.3,328028
2018-01-01,Anchorage,AK,6.2,328639
2018-02-01,Anchorage,AK,6.2,328729
2018-03-01,Anchorage,AK,6.1,328647
2018-04-01,Anchorage,AK,6.1,326651
2018-05-01,Anchorage,AK,6.0,326832
2018-06-01,Anchorage,AK,6.0,327094
2018-07-01,Anchorage,AK,6.0,329122
2018-08-01,Anchorage,AK,5.9,329616
2018-09-01,Anchorage,AK,5.9,329391
2018-10-01,Anchorage,AK,5.9,329224
2018-11-01,Anchorage,AK,5.9,329291
2018-12-01,Anchorage,AK,5.9,329745
2019-01-01,Anchorage,AK,5.9,330163
2019-02-01,Anchorage,AK,5.9,334476
2019-03-01,Anchorage,AK,5.8,339051
2019-04-01,Anchorage,AK,5.8,346253
2019-05-01,Anchorage,AK,5.7,349319
2019-06-01,Anchorage,AK,5.7,352165
2019-07-01,Anchorage,AK,5.6,353414
2019-08-01,Anchorage,AK,5.5,355594
2019-09-01,Anchorage,AK,5.5,358021
2019-10-01,Anchorage,AK,5.5,360057
2019-11-01,Anchorage,AK,5.5,362066
2019-12-01,Anchorage,AK,5.4,363430
2020-01-01,Anchorage,AK,5.4,364480
2003-01-01,Atlanta,GA,5.1,209091
2003-02-01,Atlanta,GA,5.1,209260
2003-03-01,Atlanta,GA,5.1,210151
2003-04-01,Atlanta,GA,5.1,210555
2003-05-01,Atlanta,GA,5.1,210941
2003-06-01,Atlanta,GA,5.1,211092
2003-07-01,Atlanta,GA,5.0,211490
2003-08-01,Atlanta,GA,4.9,211702
2003-09-01,Atlanta,GA,4.8,211908
2003-10-01,Atlanta,GA,4.6,211997
2003-11-01,Atlanta,GA,4.5,212087
2003-12-01,Atlanta,GA,4.4,212689
2004-01-01,Atlanta,GA,4.3,213681
2004-02-01,Atlanta,GA,4.3,215171
2004-03-01,Atlanta,GA,4.4,216210
2004-04-01,Atlanta,GA,4.6,217481
2004-05-01,Atlanta,GA,4.7,218473
2004-06-01,Atlanta,GA,4.8,219333
2004-07-01,Atlanta,GA,4.8,219982
2004-08-01,Atlanta,GA,4.9,221140
2004-09-01,Atlanta,GA,5.0,222476
2004-10-01,Atlanta,GA,5.0,223886
2004-11-01,Atlanta,GA,5.1,225030
2004-12-01,Atlanta,GA,5.2,226398
2005-01-01,Atlanta,GA,5.3,227612
2005-02-01,Atlanta,GA,5.3,228827
2005-03-01,Atlanta,GA,5.4,230066
2005-04-01,Atlanta,GA,5.4,231624
2005-05-01,Atlanta,GA,5.3,233293
2005-06-01,Atlanta,GA,5.3,234887
2005-07-01,Atlanta,GA,5.2,236007
2005-08-01,Atlanta,GA,5.2,237246
2005-09-01,Atlanta,GA,5.9,238397
2005-10-01,Atlanta,GA,5.6,239439
2005-11-01,Atlanta,GA,5.4,240201
2005-12-01,Atlanta,GA,5.2,240798
2006-01-01,Atlanta,GA,5.0,241684
2006-02-01,Atlanta,GA,4.8,242513
2006-03-01,Atlanta,GA,4.7,242945
2006-04-01,Atlanta,GA,4.7,242765
2006-05-01,Atlanta,GA,4.7,242749
2006-06-01,Atlanta,GA,4.7,242972
2006-07-01,Atlanta,GA,4.7,244019
2006-08-01,Atlanta,GA,4.7,244472
2006-09-01,Atlanta,GA,4.6,245145
2006-10-01,Atlanta,GA,4.5,245800
2006-11-01,Atlanta,GA,4.5,246772
2006-12-01,Atlanta,GA,4.3,247611
2007-01-01,Atlanta,GA,4.2,248408
2007-02-01,Atlanta,GA,4.2,249150
2007-03-01,Atlanta,GA,4.1,250077
2007-04-01,Atlanta,GA,4.1,250208
2007-05-01,Atlanta,GA,4.2,250129
2007-06-01,Atlanta,GA,4.3,249790
2007-07-01,Atlanta,GA,4.4,249679
2007-08-01,Atlanta,GA,4.5,249154
2007-09-01,Atlanta,GA,4.6,247874
2007-10-01,Atlanta,GA,4.7,246090
2007-11-01,Atlanta,GA,4.8,244306
2007-12-01,Atlanta,GA,4.9,242620
2008-01-01,Atlanta,GA,5.0,240844
2008-02-01,Atlanta,GA,5.1,237836
2008-03-01,Atlanta,GA,5.2,234410
2008-04-01,Atlanta,GA,5.4,231444
2008-05-01,Atlanta,GA,5.6,229234
2008-06-01,Atlanta,GA,5.8,226951
2008-07-01,Atlanta,GA,6.0,223590
2008-08-01,Atlanta,GA,6.3,220126
2008-09-01,Atlanta,GA,6.8,216639
2008-10-01,Atlanta,GA,7.2,213049
2008-11-01,Atlanta,GA,7.7,209262
2008-12-01,Atlanta,GA,8.1,204943
2009-01-01,Atlanta,GA,8.5,200264
2009-02-01,Atlanta,GA,8.9,196096
2009-03-01,Atlanta,GA,9.3,192234
2009-04-01,Atlanta,GA,9.5,188450
2009-05-01,Atlanta,GA,9.8,183858
2009-06-01,Atlanta,GA,10.0,179723
2009-07-01,Atlanta,GA,10.2,176827
2009-08-01,Atlanta,GA,10.4,174823
2009-09-01,Atlanta,GA,10.5,173555
2009-10-01,Atlanta,GA,10.6,172398
2009-11-01,Atlanta,GA,10.7,171061
2009-12-01,Atlanta,GA,10.7,169465
2010-01-01,Atlanta,GA,10.6,167681
2010-02-01,Atlanta,GA,10.5,166274
2010-03-01,Atlanta,GA,10.4,165322
2010-04-01,Atlanta,GA,10.2,165242
2010-05-01,Atlanta,GA,10.1,165636
2010-06-01,Atlanta,GA,10.0,165361
2010-07-01,Atlanta,GA,10.1,163643
2010-08-01,Atlanta,GA,10.2,161589
2010-09-01,Atlanta,GA,10.3,158789
2010-10-01,Atlanta,GA,10.4,156451
2010-11-01,Atlanta,GA,10.4,153998
2010-12-01,Atlanta,GA,10.4,152794
2011-01-01,Atlanta,GA,10.3,151856
2011-02-01,Atlanta,GA,10.1,151153
2011-03-01,Atlanta,GA,10.0,149510
2011-04-01,Atlanta,GA,10.0,147118
2011-05-01,Atlanta,GA,10.0,144100
2011-06-01,Atlanta,GA,10.0,141788
2011-07-01,Atlanta,GA,10.0,140223
2011-08-01,Atlanta,GA,10.0,139033
2011-09-01,Atlanta,GA,9.9,138277
2011-10-01,Atlanta,GA,9.7,137821
2011-11-01,Atlanta,GA,9.6,137699
2011-12-01,Atlanta,GA,9.4,136960
2012-01-01,Atlanta,GA,9.3,136146
2012-02-01,Atlanta,GA,9.2,135476
2012-03-01,Atlanta,GA,9.1,135475
2012-04-01,Atlanta,GA,9.1,136145
2012-05-01,Atlanta,GA,9.0,137276
2012-06-01,Atlanta,GA,8.9,138465
2012-07-01,Atlanta,GA,8.8,139520
2012-08-01,Atlanta,GA,8.6,140310
2012-09-01,Atlanta,GA,8.5,141084
2012-10-01,Atlanta,GA,8.4,141732
2012-11-01,Atlanta,GA,8.4,142724
2012-12-01,Atlanta,GA,8.3,143984
2013-01-01,Atlanta,GA,8.3,145645
2013-02-01,Atlanta,GA,8.2,146940
2013-03-01,Atlanta,GA,8.1,148960
2013-04-01,Atlanta,GA,8.1,150636
2013-05-01,Atlanta,GA,8.0,152832
2013-06-01,Atlanta,GA,7.9,154492
2013-07-01,Atlanta,GA,7.8,156759
2013-08-01,Atlanta,GA,7.7,159155
2013-09-01,Atlanta,GA,7.5,162055
2013-10-01,Atlanta,GA,7.4,164491
2013-11-01,Atlanta,GA,7.2,166725
2013-12-01,Atlanta,GA,7.1,168681
2014-01-01,Atlanta,GA,7.0,170449
2014-02-01,Atlanta,GA,7.0,172446
2014-03-01,Atlanta,GA,7.0,173333
2014-04-01,Atlanta,GA,7.0,174531
2014-05-01,Atlanta,GA,7.0,175007
2014-06-01,Atlanta,GA,6.9,176261
2014-07-01,Atlanta,GA,6.9,177485
2014-08-01,Atlanta,GA,6.7,179007
2014-09-01,Atlanta,GA,6.6,180045
2014-10-01,Atlanta,GA,6.4,181037
2014-11-01,Atlanta,GA,6.3,181724
2014-12-01,Atlanta,GA,6.1,182914
2015-01-01,Atlanta,GA,6.0,184260
2015-02-01,Atlanta,GA,6.0,185610
2015-03-01,Atlanta,GA,6.0,187283
2015-04-01,Atlanta,GA,5.9,188702
2015-05-01,Atlanta,GA,5.9,191021
2015-06-01,Atlanta,GA,5.8,193077
2015-07-01,Atlanta,GA,5.7,194771
2015-08-01,Atlanta,GA,5.6,195824
2015-09-01,Atlanta,GA,5.5,197203
2015-10-01,Atlanta,GA,5.4,198779
2015-11-01,Atlanta,GA,5.3,200815
2015-12-01,Atlanta,GA,5.3,201996
2016-01-01,Atlanta,GA,5.2,203714
2016-02-01,Atlanta,GA,5.2,205523
2016-03-01,Atlanta,GA,5.2,207865
2016-04-01,Atlanta,GA,5.1,210414
2016-05-01,Atlanta,GA,5.1,212035
2016-06-01,Atlanta,GA,5.1,213346
2016-07-01,Atlanta,GA,5.1,214244
2016-08-01,Atlanta,GA,5.1,215607
2016-09-01,Atlanta,GA,5.1,215969
2016-10-01,Atlanta,GA,5.1,217243
2016-11-01,Atlanta,GA,5.1,218897
2016-12-01,Atlanta,GA,5.0,221998
2017-01-01,Atlanta,GA,5.0,224895
2017-02-01,Atlanta,GA,4.9,227665
2017-03-01,Atlanta,GA,4.8,229962
2017-04-01,Atlanta,GA,4.8,231310
2017-05-01,Atlanta,GA,4.6,232809
2017-06-01,Atlanta,GA,4.5,235000
2017-07-01,Atlanta,GA,4.4,237837
2017-08-01,Atlanta,GA,4.3,241021
2017-09-01,Atlanta,GA,4.2,245025
2017-10-01,Atlanta,GA,4.2,248634
2017-11-01,Atlanta,GA,4.1,251962
2017-12-01,Atlanta,GA,4.1,254833
2018-01-01,Atlanta,GA,4.1,256323
2018-02-01,Atlanta,GA,4.1,257750
2018-03-01,Atlanta,GA,4.1,259155
2018-04-01,Atlanta,GA,4.0,262427
2018-05-01,Atlanta,GA,3.9,266149
2018-06-01,Atlanta,GA,3.8,270171
2018-07-01,Atlanta,GA,3.7,273950
2018-08-01,Atlanta,GA,3.6,277214
2018-09-01,Atlanta,GA,3.5,280519
